app_id;Qtd_Loads;Qtd_Stores;Qtd_Joins;Qtd_ApplyMaps;Qtd_Residents;Qtd_Ifs;Qtd_Fors;Qtd_Whiles
Extrator_OTIF;8;4;36;0;34;69;76;4
Extrator_Parametro_ABC;2;0;0;0;0;1;10;0
Extrator_Parametro_De_Compra_New;28;17;24;0;3;16;13;0
Extrator_Pedido_Aberto;62;2;34;0;0;1;11;0
Extrator_Pedido_Emergencia;16;0;0;0;0;1;11;0
Extrator_Pedidos_e_Recebimentos;44;14;10;0;24;109;159;3
Extrator_Pedidos_Original;0;4;4;0;4;9;14;1
Extrator_Performance_Vendas_Varejo_20251231;5;1;24;20;27;30;17;0
Extrator_Performance_Vendas_Varejo;5;2;24;20;29;19;17;0
Extrator_PFP;8;6;0;0;0;1;14;0
Extrator_Physical_Inv_Atual;9;5;12;0;10;3;11;0
Extrator_Physical_Inv;9;5;16;0;12;3;11;0
Extrator_PLAN_COMPRAS;9;5;4;0;1;2;36;0
Extrator_Planejamento_Demanda;1677;2;8;0;8;2;3367;0
Extrator_PMC;5;2;2;0;2;5;12;0
Extrator_Prev_Compras_CDS;1;0;0;0;0;3;20;0
Extrator_Prev_Saidas_CDs;59;10;113;0;26;46;11;2
Extrator_Prevencao_Perda_v3;0;20;6;0;25;776;10;2
Extrator_Processos_People_ATUAL;17;8;8;1;15;18;21;0
Extrator_Produtividade_Osasco;3;4;0;0;0;1;10;1
Extrator_Profmetrics_Ofertas_FTP;1;1;0;0;1;1;16;1
Extrator_Promo_Apps;4;1;0;0;0;1;11;0
Extrator_Rateio_PUB;1;1;12;0;13;3;10;1
Extrator_Rdm_Peoplesoft;2;2;0;0;0;1;11;0
Extrator_Recebimento_EU_ATUAL;2;1;0;0;0;1;12;1
Extrator_Recebimento_EU_Gustvo;121;120;0;0;0;1;250;1
Extrator_Recebimento_EU;6;5;0;0;0;1;20;1
Extrator_Recebimento_Trocas;33;0;6;0;3;15;13;0
Extrator_Regime_ST;2;1;0;0;0;1;10;0
Extrator_Relatorio_Faltas;12;1;0;0;0;1;10;0
Extrator_Requisicao_Compras;15;0;0;0;0;16;11;0
Extrator_Requisicao;148;21;42;0;0;1;11;0
Extrator_Res_Auto;4;2;0;0;2;1;11;0
Extrator_Ressuprimento_suporte;8479;1212;4844;0;2422;2423;11;0
Extrator_Ressuprimento;6218;889;3552;0;1776;1777;11;0
Extrator_Retire_na_Loja;2;1;2;0;0;1;12;0
Extrator_RH_Lake;1;1;0;0;0;1;10;0
Extrator_Ruptura_Loja - Copy;44;5;103;0;20;35;13;2
Extrator_Ruptura_Loja_GERACAO;52;4;115;0;24;45;12;4
Extrator_Ruptura_Loja_todos_motivos;45;6;103;0;20;34;12;2
Extrator_Ruptura_Loja;52;4;115;0;24;46;12;4
Extrator_Sales_Force_Mes_Anterior;0;0;0;0;0;1;10;0
Extrator_Sales_Force;0;0;0;0;0;1;10;0
Extrator_Sob_Falta;5;4;0;0;0;9;11;0
Extrator_Sortimento;21;14;26;0;38;14;19;0
Extrator_Super_Fornecedores;854;23;38;0;24;8599;4454;6
Extrator_Tab_Prod;2;1;0;0;0;2;10;0
Extrator_Ticket_Medio - Dia Anterior;6;6;0;0;3;1;12;0
Extrator_Ticket_Medio - ME;27;3;0;0;1;1;12;0
Extrator_Ticket_Medio;45;84;0;0;81;23;15;3
Extrator_Transaction_Inv - Reprocessa;173;17;40;0;155;1;32;0
Extrator_Transaction_Inv_ATUAL;2;1;0;1;0;1;11;0
Extrator_Transaction_Inv;38;3;6;0;34;1;15;0
Extrator_Transito_Atual;2;1;0;0;2;1;10;0
Extrator_Transito;3;2;0;0;1;1;10;0
Extrator_Uso_Consumo;21;20;2;0;1;21;11;1
Extrator_VENDA_SEMANAL - Copy;2072;2071;0;0;0;2;11;0
Extrator_VENDA_SEMANAL;2100;2099;0;0;0;2;11;0
Extrator_Voucher;24;5;4;0;4;3;26;0
Extrator_vTex_Acomp_Pedidos_GCP_US;0;0;0;0;0;1;10;0
Extrator_vTex_GCP Atual;2;2;0;0;0;2;10;1
Extrator_vTex_GCP;32;32;0;0;1;16;10;1
Extrator_XML;2;3;0;0;0;3;10;0
Extrator_Zona_Preco;2;1;0;0;0;1;10;0
Extrator;10;1;9;0;0;1;10;1
Falteiro;3408;0;362;0;30;3284;473;0
Flash_de_Vendas - New;7;1;2;0;2;11;11;0
Flash_de_Vendas_24;7;0;2;1;2;12;12;0
Flash_de_Vendas;7;1;2;0;2;11;11;0
Gera_Dim_Negocio;5;5;6;0;0;651;57;0
Governance Dashboard;838;90;114;1798;244;10659;6678;1
Grupo Operacao Fiscal;13;1;6;0;2;7;12;0
Indicador Fornecedor;3;0;0;2;4;8;391;1
Integracao_Visibilidade_Neogrid;0;0;0;0;0;1;10;0
Intergacao_Promocoes_RDF - Copy;0;2;0;0;2;55;11;0
Intergacao_Promocoes_RDF;0;2;0;0;2;55;11;0
Inventario Ciclico_V2;2324;0;0;0;2;7136;11;1
Inventario Ciclico;2698;0;0;0;2;2704;11;1
Inventario_CD_906 - RJ;7;0;2;0;8;32;11;0
Inventario_CD_908 - ES;7;0;2;0;8;33;11;0
Inventario_CD_909 - MG;7;0;2;0;8;32;11;0
Inventario_CD_910 - SP;7;0;2;0;8;50;11;0
Inventario_CD_915 - BA;7;0;2;0;8;32;11;0
Inventario_CD_917 - GO;7;0;2;0;8;32;11;0
IVE_Ped_Emergencia;163;1;17;0;17;56;24;0
License_Analyser_K3FDS_v2;0;14;30;0;15;55;10;0
Logistica;63;14;46;0;46;13;33;2
Mapa de Compras;76;9;172;20;78;69;115;1
Mape Previsão de Demanda_Mês;1;0;2;0;5;2;10;1
Mape Previsão de Demanda_Reprocessamento;12;6;26;1;8;25;18;1
Mape Previsão de Demanda;1;0;0;0;3;2;10;1
Marcas_Proprias;60;1;14;0;16;90;15;1
MARGEM BRUTA Analytics;1;0;2;0;5;104;25;1
MARGEM BRUTA;1;0;4;0;3;127;11;1
MCD_Diario;0;0;0;0;0;1;13;0
MCD_Hora;0;0;0;0;0;1;10;0
Mediana_30D_DH;0;4;34;0;3314;4317;12;1
Mediana_30D;6889;6;3036;6888;3393;24151;12;3
Monitor Custo_CD;7;1;6;0;3;7;11;0
